ใส่กระโปรง	sai kraprong	saiˇ graˇ brōng	穿裙子	engine-auto	
ไม่ใส่ถั่วงอกค่ะ	mai sai thuangok ka	maiˋ saiˇ tūaˇ ngɔ̄kˋ kaˋ	不加豆芽菜	engine-auto	
ใส่ถั่วงอกเยอะๆ	sai thuangok yoyo	saiˇ tūaˇ ngɔ̄kˋ yə~ yə~	加很多豆芽菜	engine-auto	
ใส่กะทิเยอะหน่อยค่ะ	sai kathi yonoi ka	saiˇ gaˇ ti~ yə~ nɔ̄iˇ kaˋ	椰奶加多一點	engine-auto	
พริก	phrik	prik~	辣椒	engine-auto	
ใส่พริกเยอะๆ	sai phrik yoyo	saiˇ prik~ yə~ yə~	辣椒加很多	engine-auto	
ใส่พริกเยอะหน่อย	sai phrik yonoi	saiˇ prik~ yə~ nɔ̄iˇ	辣椒加多一點	engine-auto	
น้ำพริกเผา	namphrikphao	nām~ prik~ pāuˊ	辣椒膏	engine-auto	
พริกไทย	phrikthai	prik~ tai	胡椒	book-exact	(book-exact已用引擎重新驗證)
หอมแดง	homdaeng	hɔ̄mˊ dhɛ̄ng	紅蔥頭	engine-auto	
ต้องใส่หอมแดง	tong sai homdaeng	dɔ̄ngˋ saiˇ hɔ̄mˊ dhɛ̄ng	必須加紅蔥頭	engine-auto	
หัวหอม	huahom	hūaˊ hɔ̄mˊ	洋蔥	engine-auto	
กินหัวหอมหรือเปล่า	kin huahom rue plao	gin hūaˊ hɔ̄mˊ rɯ̄ˊ blāuˇ	吃洋蔥嗎	engine-auto	
ฉันไม่กินหัวหอม	chan mai kin huahom	chanˊ maiˋ gin hūaˊ hɔ̄mˊ	我不吃洋蔥	engine-auto	
ผักชี	phakchi	pakˇ chī	香菜	engine-auto	
ถอด	thot	tɔ̄tˇ	脫	engine-auto	
ถอดกางเกง	thot kangkeng	tɔ̄tˇ gāng gēng	脫褲子	engine-auto	
ถอดรองเท้า	thot rongthao	tɔ̄tˇ rɔ̄ng tāu~	脫鞋子	engine-auto	
แว่นตา	waenta	wɛ̄nˋ dā	眼鏡	engine-auto	
ถอดแว่น	thot waen	tɔ̄tˇ wɛ̄nˋ	脫眼鏡	engine-auto	
แหวน	waen	wɛ̄nˊ	戒指	engine-auto	
ถอดแหวน	thot waen	tɔ̄tˇ wɛ̄nˊ	脫戒指	engine-auto	
ถอดไม่ออก	thot mai awk	tɔ̄tˇ maiˋ ɔ̄kˇ	脫不下來	engine-auto	
แหวนแต่งงาน	waen taengngan	wɛ̄nˊ dɛ̄ngˇ ngān	結婚戒指	engine-auto	
แหวนทอง	waen thong	wɛ̄nˊ tɔ̄ng	金戒指	engine-auto	
แหวนผู้หญิง	waen phuying	wɛ̄nˊ pūˋ yingˊ	女用戒指	engine-auto	
แหวนผู้ชาย	waen phuchai	wɛ̄nˊ pūˋ chāi	男用戒指	engine-auto	
แว่นกันแดด	waen kandaet	wɛ̄nˋ gan dhɛ̄tˇ	太陽眼鏡	engine-auto	
กัน	kan	gan	預防、防止	engine-auto	
แดด	daet	dhɛ̄tˇ	陽光	engine-auto	
วันนี้ไม่มีแดด	wan ni mai mi daet	wan nī~ maiˋ mī dhɛ̄tˇ	今天沒有陽光	engine-auto	
แว่นกันแดด ยี่ห้อนี้ แพงมาก	waen kandaet yiho ni phaeng mak	wɛ̄nˋ gan dhɛ̄tˇ yīˋ hɔ̄ˋ nī~ pɛ̄ng mākˋ	這個牌子的太陽眼鏡非常貴	engine-auto	
แมส	maet	mɛ̄tˋ	口罩（外來語）	engine-auto	
เพิ่งตื่นไม่นาน	pheng tuen mai nan	pə̄ngˋ dɯ̄nˇ maiˋ nān	剛醒不久	engine-auto	
เพิ่ง	pheng	pə̄ngˋ	剛	engine-auto	
เขาเพิ่งมา	kao pheng ma	kāuˊ pə̄ngˋ mā	他剛來	engine-auto	
เขาเพิ่งไป	kao pheng pai	kāuˊ pə̄ngˋ bai	他剛走	engine-auto	
ฉันเพิ่งกินอิ่ม	chan pheng kin im	chanˊ pə̄ngˋ gin imˇ	我剛吃飽	engine-auto	
ผึ้ง	phueng	pɯngˋ	蜜蜂	engine-auto	
ตื่น	tuen	dɯ̄nˇ	醒來、起床	book-exact	(book-exact已用引擎重新驗證)
ตื่นสาย	tuen sai	dɯ̄nˇ sāiˊ	晚起（睡過頭）	engine-auto	
มาสาย	ma sai	mā sāiˊ	遲到	engine-auto	
ตื่นสายก็เลยมาสาย	tuen sai ko loei ma sai	dɯ̄nˇ sāiˊ gɔ̄ˋ lə̄i mā sāiˊ	晚起所以遲到	book-exact	(book-exact已用引擎重新驗證)
ทำไมมาสาย	tam mai ma sai	tam mai mā sāiˊ	為什麼遲到	engine-auto	
รีบ	rip	rīpˋ	趕快	engine-auto	
ถ่ายรูป	thai rup	tāiˇ rūpˋ	拍照	engine-auto	
รีบถ่ายรูป	rip thai rup	rīpˋ tāiˇ rūpˋ	趕快拍照	engine-auto	
ไปทำธุระ	pai tam thu ra	bai tam tu~ ra~	去辦事	engine-auto	
รีบไปรีบมา	rip pai rip ma	rīpˋ bai rīpˋ mā	快去快回	book-exact	(book-exact已用引擎重新驗證)
รีบไปไหน	rip pai nai	rīpˋ bai naiˊ	趕著去哪	engine-auto	
ไม่ต้องรีบ	mai tong rip	maiˋ dɔ̄ngˋ rīpˋ	不用趕	engine-auto	
ใจเย็นๆ	chai yen yen	jai yen yen	冷靜、慢慢來	engine-auto	
ให้	hai	haiˋ	給	engine-auto	
ให้เงินแม่	hai ngoen mae	haiˋ ngə̄n mɛ̄ˋ	給媽媽錢	engine-auto	
ของขวัญ	khong khwan	kɔ̄ngˊ kwanˊ	禮物	engine-auto	
ของขวัญวันเกิด	khong khwan wan koet	kɔ̄ngˊ kwanˊ wan gə̄tˇ	生日禮物	engine-auto	
ของขวัญแต่งงาน	khong khwan taeng ngan	kɔ̄ngˊ kwanˊ dɛ̄ngˇ ngān	結婚禮物	engine-auto	
ให้ของขวัญเพื่อน	hai khong khwan phuean	haiˋ kɔ̄ngˊ kwanˊ pɯ̄anˋ	給朋友禮物	book-exact	(book-exact已用引擎重新驗證)
ให้ของขวัญแฟน	hai khong khwan faen	haiˋ kɔ̄ngˊ kwanˊ fɛ̄n	給情人（伴侶）禮物	engine-auto	
ให้มือถือลูก	hai mue thue luk	haiˋ mɯ̄ tɯ̄ˊ lūkˋ	給孩子手機	engine-auto	
นั่ง	nang	nangˋ	坐	book-exact	(book-exact已用引擎重新驗證)
นั่งตุ๊กตุ๊ก	nang tuk tuk	nangˋ duk~ duk~	坐嘟嘟車	engine-auto	
รถตุ๊กตุ๊ก	rot tuk tuk	rot~ duk~ duk~	嘟嘟車	engine-auto	
เคยนั่งตุ๊กตุ๊กไหมคะ	koei nang tuk tuk mai ka	kə̄i nangˋ duk~ duk~ maiˊ ka~	你坐過嘟嘟車嗎？	engine-auto	
นั่งสองแถว	nang song thaeo	nangˋ sɔ̄ngˊ tɛ̄uˊ	坐雙條車	engine-auto	
เคยนั่งสองแถวไหม	koei nang song thaeo mai	kə̄i nangˋ sɔ̄ngˊ tɛ̄uˊ maiˊ	你坐過雙條車嗎？	engine-auto	
ฉันเคยนั่งสองแถว	chan koei nang song thaeo	chanˊ kə̄i nangˋ sɔ̄ngˊ tɛ̄uˊ	我坐過雙條車	engine-auto	
รถตู้	rot tu	rot~ dūˋ	廂型車	book-exact	(book-exact已用引擎重新驗證)
นั่งรถตู้	nang rot tu	nangˋ rot~ dūˋ	坐廂型車	engine-auto	
เคยนั่งรถตู้ไหม	koei nang rot tu mai	kə̄i nangˋ rot~ dūˋ maiˊ	你坐過廂型車嗎？	engine-auto	
นั่งลง	nang long	nangˋ long	坐下	engine-auto	
ทำไมไม่นั่งลง	tam mai mai nang long	tam mai maiˋ nangˋ long	為什麼不坐下？	engine-auto	
นั่งกับพื้น	nang gap pheun	nangˋ gapˇ pɯ̄n~	坐在地板上	book-exact	(book-exact已用引擎重新驗證)
พื้น	pheun	pɯ̄n~	地板	engine-auto	
ชอบนั่งกับพื้นไหมคะ	chob nang gap pheun mai ka	chɔ̄pˋ nangˋ gapˇ pɯ̄n~ maiˊ ka~	喜歡坐在地板上嗎？	engine-auto	
ไม่ชอบนั่งกับพื้น	mai chob nang gap pheun	maiˋ chɔ̄pˋ nangˋ gapˇ pɯ̄n~	不喜歡坐在地板上	engine-auto	
พื้นไม่สะอาด	pheun mai saat	pɯ̄n~ maiˋ saˇ ātˇ	地板不乾淨	engine-auto	
เดิน	doen	dhə̄n	走、逛	engine-auto	
เดินเล่น	doen len	dhə̄n lēnˋ	散步、逛一逛	engine-auto	
ชอบเดินเล่นไหม	chob doen len mai	chɔ̄pˋ dhə̄n lēnˋ maiˊ	喜歡散步嗎？	engine-auto	
เดินเล่นกับใคร	doen len gap khrai	dhə̄n lēnˋ gapˇ krai	和誰散步？	engine-auto	
เดินตลาด	doen talat	dhə̄n daˇ lātˋ	逛市場	engine-auto	
ชอบเดินตลาดไหมคะ	chob doen talat mai ka	chɔ̄pˋ dhə̄n daˇ lātˋ maiˊ ka~	喜歡逛市場嗎？	engine-auto	
เดินห้าง	doen hang	dhə̄n hāngˋ	逛百貨公司	engine-auto	
ชอบเดินห้างไหน	chob doen hang nai	chɔ̄pˋ dhə̄n hāngˋ naiˊ	喜歡逛哪家百貨公司？	engine-auto	
นอน	non	nɔ̄n	睡覺	book-exact	(book-exact已用引擎重新驗證)
นอนดึก	non duek	nɔ̄n dhɯkˇ	晚睡、熬夜	engine-auto	
เที่ยงคืน	thiang khuen	tīangˋ kɯ̄n	午夜	engine-auto	
ไม่นอนดึก	mai non duek	maiˋ nɔ̄n dhɯkˇ	不晚睡	engine-auto	
ฉันนอนไม่ดึก	chan non mai duek	chanˊ nɔ̄n maiˋ dhɯkˇ	我不晚睡	engine-auto	
นอนหลับดี	non lap di	nɔ̄n lapˇ dhī	睡得好	engine-auto	
นอนหลับ	non lap	nɔ̄n lapˇ	睡著	engine-auto	
นอนหลับแล้ว	non lap laeo	nɔ̄n lapˇ lɛ̄u~	睡著了	engine-auto	
หลับ	lap	lapˇ	睡著（短語）	engine-auto	
หลับตา	lap ta	lapˇ dā	閉眼	engine-auto	
นอนไม่หลับ	non mai lap	nɔ̄n maiˋ lapˇ	睡不著	engine-auto	
เมื่อคืนนอนหลับไหม	muea khuen non lap mai	mɯ̄aˋ kɯ̄n nɔ̄n lapˇ maiˊ	昨晚睡得著嗎？	engine-auto	
เมื่อคืนผมนอนไม่หลับ	muea khuen pom non mai lap	mɯ̄aˋ kɯ̄n pomˊ nɔ̄n maiˋ lapˇ	昨晚我睡不著	engine-auto	
นอนหลับฝันดี	non lap fan di	nɔ̄n lapˇ fanˊ dhī	祝好夢	engine-auto	
ฝันดีนะ	fan di na	fanˊ dhī na~	好夢喔	engine-auto	
ฝัน	fan	fanˊ	做夢	engine-auto	
ตื่นนอน	tuen non	dɯ̄nˇ nɔ̄n	睡醒、起床	engine-auto	
วันนี้ตื่นนอนกี่โมง	wan ni tuen non gi mong	wan nī~ dɯ̄nˇ nɔ̄n gīˇ mōng	今天幾點睡醒？	engine-auto	
ตื่นหกโมงเช้า	tuen hok mong chao	dɯ̄nˇ hokˇ mōng chāu~	六點醒	engine-auto	
ตื่นขึ้นมา	tuen khuen ma	dɯ̄nˇ kɯnˋ mā	起來	engine-auto	
ตื่นขึ้นมาทำอะไร	tuen khuen ma tam a rai	dɯ̄nˇ kɯnˋ mā tam aˇ rai	起來做什麼？	engine-auto	
ตื่นขึ้นมากินอาหารเช้า	tuen khuen ma kin a han chao	dɯ̄nˇ kɯnˋ mā gin ā hānˊ chāu~	起來吃早餐	engine-auto	
ตื่นขึ้นมาไปเข้าห้องน้ำ	tuen khuen ma pai khao hong nam	dɯ̄nˇ kɯnˋ mā bai kāuˋ hɔ̄ngˋ nām~	起來去廁所	engine-auto	
ตื่นขึ้นมาเล่นมือถือ	tuen khuen ma len mue thue	dɯ̄nˇ kɯnˋ mā lēnˋ mɯ̄ tɯ̄ˊ	起來玩手機	engine-auto	
ตื่นเต้น	tuen ten	dɯ̄nˇ dēnˋ	興奮、緊張	engine-auto	
เต้น	ten	dēnˋ	跳舞	engine-auto	
จะตื่นเต้นไหมคะ	ja tuen ten mai ka	jaˇ dɯ̄nˇ dēnˋ maiˊ ka~	會緊張嗎？	engine-auto	
พัก	pak	pak~	休息	book-exact	(book-exact已用引擎重新驗證)
พัก 5 นาที	pak 5 na tee	pak~ 5 nā tī	休息5分鐘	engine-auto	
พักเที่ยง	pak tiang	pak~ tīangˋ	午休	engine-auto	
พักเที่ยงกี่ชั่วโมงคะ	pak tiang gee chua mong ka	pak~ tīangˋ gīˇ chūaˋ mōng ka~	午休幾小時？	engine-auto	
พักเที่ยง 1 ชั่วโมง	pak tiang nueng chua mong	pak~ tīangˋ 1 chūaˋ mōng	午休1小時	engine-auto	
พักเที่ยง 2 ชั่วโมง	pak tiang song chua mong	pak~ tīangˋ 2 chūaˋ mōng	午休2小時	engine-auto	
พักที่บ้านเพื่อน	pak tee ban puean	pak~ tīˋ bhānˋ pɯ̄anˋ	住在朋友家（暫住）	engine-auto	
พักที่โรงแรม	pak tee rong raem	pak~ tīˋ rōng rɛ̄m	住在飯店	engine-auto	
พักผ่อน	pak pon	pak~ pɔ̄nˇ	休息、放鬆（長時）	engine-auto	
ต้องพักผ่อนเยอะๆ	tong pak pon yeye	dɔ̄ngˋ pak~ pɔ̄nˇ yə~ yə~	要多休息	engine-auto	
รอ	raw	rɔ̄	等	engine-auto	
รอรถ	raw rot	rɔ̄ rot~	等車	engine-auto	
รอรถสองแถว	raw rot song thaeo	rɔ̄ rot~ sɔ̄ngˊ tɛ̄uˊ	等雙條車	engine-auto	
รอรถตุ๊กตุ๊ก	raw rot tuk tuk	rɔ̄ rot~ duk~ duk~	等嘟嘟車	engine-auto	
รอรถตู้	raw rot tu	rɔ̄ rot~ dūˋ	等麵包車（廂型車）	engine-auto	
รอที่นี่	raw tee nee	rɔ̄ tīˋ nīˋ	在這裡等	engine-auto	
รอที่นี่นะ อย่าไปไหน	raw tee nee na ya pai nai	rɔ̄ tīˋ nīˋ na~ yāˋ bai naiˊ	在這裡等喔，別去哪裡	engine-auto	
รอสักครู่	raw sak kru	rɔ̄ sakˇ krūˋ	請稍等（正式）	engine-auto	
รอแป๊บเดียว	raw paep diao	rɔ̄ bɛ̄p~ dhīau	等一下	engine-auto	
รอนานไหม	raw nan mai	rɔ̄ nān maiˊ	等很久嗎？	engine-auto	
รอแป๊บนะ	raw paep na	rɔ̄ bɛ̄p~ na~	等一下喔	engine-auto	
แป๊บนะ	paep na	bɛ̄p~ na~	等一下（極短口語）	engine-auto	
รออีก 10 นาที	raw eek 10 na tee	rɔ̄ īkˇ 10 nā tī	再等10分鐘	engine-auto	
ฉันไม่รอคุณแล้ว	chan mai raw kun laeo	chanˊ maiˋ rɔ̄ kun lɛ̄u~	我不等你了	engine-auto	
เรียก	riak	rīakˋ	叫	engine-auto	
เรียกแท็กซี่	riak taxi	rīakˋ tɛk~ sīˋ	叫計程車	engine-auto	
นี่เรียกว่าอะไร	nee riak wa a rai	nīˋ rīakˋ wāˋ aˇ rai	這叫作什麼？	engine-auto	
เรียกเขามา	riak kao ma	rīakˋ kāuˊ mā	叫他過來	engine-auto	
เรียกเขามาหาฉัน	riak kao ma ha chan	rīakˋ kāuˊ mā hāˊ chanˊ	叫他來找我	engine-auto	
ถ่ายรูป	thae rup	tāiˇ rūpˋ	拍照	engine-auto	
ถ่ายวิดีโอ	thae video	tāiˇ wi~ dhī ō	錄影	engine-auto	
ชอบถ่ายรูปหรือถ่ายวิดีโอ	chob thae rup rue thae video	chɔ̄pˋ tāiˇ rūpˋ rɯ̄ˊ tāiˇ wi~ dhī ō	你喜歡拍照還是錄影？	engine-auto	
ชอบทั้งถ่ายรูปและถ่ายวิดีโอ	chob thang thae rup lae thae video	chɔ̄pˋ tang~ tāiˇ rūpˋ lɛ~ tāiˇ wi~ dhī ō	喜歡拍照也喜歡錄影	engine-auto	
ถ่ายหนัง	thae nang	tāiˇ nangˊ	拍電影	engine-auto	
ถ่ายเอกสาร	thae ekkasan	tāiˇ ēkˇ sānˊ	影印	engine-auto	
เอกสาร	ekkasan	ēkˇ sānˊ	文件	book-exact	(book-exact已用引擎重新驗證)
ใช้เอกสารอะไรบ้าง	chai ekkasan arai bang	chai~ ēkˇ sānˊ aˇ rai bhāngˋ	需要用到哪些文件？	engine-auto	
ก๊อปปี้	copy	gɔ̄p~ bīˋ	影印、拷貝	engine-auto	
ร้านถ่ายเอกสาร	ran thae ekkasan	rān~ tāiˇ ēkˇ sānˊ	影印店	engine-auto	
กล้องถ่ายรูป	klong thae rup	glɔ̄ngˋ tāiˇ rūpˋ	相機	engine-auto	
ใช้กล้องถ่ายรูปไหม	chai klong thae rup mai	chai~ glɔ̄ngˋ tāiˇ rūpˋ maiˊ	用相機嗎？	engine-auto	
ไม่ใช้กล้องถ่ายรูป	mai chai klong thae rup	maiˋ chai~ glɔ̄ngˋ tāiˇ rūpˋ	不用相機	engine-auto	
จอง	chong	jɔ̄ng	預訂	engine-auto	
จองที่นั่ง	chong thi nang	jɔ̄ng tīˋ nangˋ	訂位（訂座位）	engine-auto	
จองโต๊ะ	chong toh	jɔ̄ng do~	訂桌	engine-auto	
จองห้อง	chong hong	jɔ̄ng hɔ̄ngˋ	訂房	engine-auto	
จองตั๋ว	chong tua	jɔ̄ng dūaˊ	訂票	engine-auto	
โทรไปจอง	tho pai chong	tōn bai jɔ̄ng	打電話預訂	engine-auto	
จองออนไลน์	chong online	jɔ̄ng ɔ̄n lai	線上預訂	engine-auto	
จองตั๋วเครื่องบิน	chong tua krueang bin	jɔ̄ng dūaˊ krɯ̄angˋ bhin	訂機票	engine-auto	
จอด	chot	jɔ̄tˇ	停車、靠岸（交通工具停靠）	engine-auto	
จอดรถ	chot rot	jɔ̄tˇ rot~	停車	engine-auto	
จอดเรือ	chot ruea	jɔ̄tˇ rɯ̄a	停船、靠岸	engine-auto	
จอดเครื่องบิน	chot krueang bin	jɔ̄tˇ krɯ̄angˋ bhin	停飛機	engine-auto	
จอดข้างหน้า	chot khang na	jɔ̄tˇ kāngˋ nāˋ	停在前面	engine-auto	
จอดข้างหน้าก็ได้ค่ะ	chot khang na kor dai ka	jɔ̄tˇ kāngˋ nāˋ gɔ̄ˋ dhaiˋ kaˋ	停在前面也可以	engine-auto	
จอดตรงไฟแดง	chot trong fai daeng	jɔ̄tˇ drong fai dhɛ̄ng	停在紅綠燈處	engine-auto	
จอดตรงนี้ก็ได้	chot trong ni kor dai	jɔ̄tˇ drong nī~ gɔ̄ˋ dhaiˋ	停在這裡也可以	engine-auto	
ที่จอดรถ	thi chot rot	tīˋ jɔ̄tˇ rot~	停車位、停車場	engine-auto	
ที่จอดรถหายาก	thi chot rot ha yak	tīˋ jɔ̄tˇ rot~ hāˊ yākˋ	停車位很難找	engine-auto	
ที่จอดรถแพง	thi chot rot phaeng	tīˋ jɔ̄tˇ rot~ pɛ̄ng	停車費很貴	engine-auto	
แลก	laek	lɛ̄kˋ	交換、兌換	engine-auto	
แลกเงิน	laek ngoen	lɛ̄kˋ ngə̄n	換錢	engine-auto	
เพิ่ง	perng	pə̄ngˋ	剛	engine-auto	
เพิ่งตื่นไม่นาน	perng tuen mai naan	pə̄ngˋ dɯ̄nˇ maiˋ nān	剛起床不久	engine-auto	
เพิ่งทำเสร็จ	perng tam set	pə̄ngˋ tam sretˇ	剛做完	engine-auto	
เพิ่งแต่งงาน	perng taeng ngaan	pə̄ngˋ dɛ̄ngˇ ngān	剛結婚	engine-auto	
เพิ่งทำความสะอาดเสร็จ	perng tam khwam sa-at set	pə̄ngˋ tam kwām saˇ ātˇ sretˇ	剛打掃完	engine-auto	
รีบ	rip	rīpˋ	趕快、急	engine-auto	
รีบถ่ายรูป	rip tai rup	rīpˋ tāiˇ rūpˋ	趕快照相	engine-auto	
รีบตื่นนอน	rip tuen non	rīpˋ dɯ̄nˇ nɔ̄n	趕快起床	engine-auto	
รีบเซ็นสัญญา	rip sen san-ya	rīpˋ sen sanˊ yā	趕快簽合約	engine-auto	
รีบขึ้นรถ	rip khuen rot	rīpˋ kɯnˋ rot~	趕快上車	engine-auto	
รีบไปทำงาน	rip pai tam ngaan	rīpˋ bai tam ngān	趕快去上班	engine-auto	
รีบทำธุระ	rip tam tu-ra	rīpˋ tam tu~ ra~	趕快辦事	engine-auto	
ไม่ต้องรีบ	mai tong rip	maiˋ dɔ̄ngˋ rīpˋ	不用趕	engine-auto	
สาย	sai	sāiˊ	晚、遲	engine-auto	
เมื่อคืนนอนดึกก็เลยตื่นสาย	muea khuen non duek kor loei tuen sai	mɯ̄aˋ kɯ̄n nɔ̄n dhɯkˇ gɔ̄ˋ lə̄i dɯ̄nˇ sāiˊ	昨晚睡得晚所以晚起	engine-auto	
มาสาย	ma sai	mā sāiˊ	遲到	engine-auto	
เขามาสายบ่อยๆ	khao ma sai boi boi	kāuˊ mā sāiˊ bhɔ̄iˇ bhɔ̄iˇ	他常常遲到	engine-auto	
เธอมาสายอีกแล้ว	thoe ma sai ik laeo	tə̄ mā sāiˊ īkˇ lɛ̄u~	你又遲到了	engine-auto	
